year,qNum,qPart,Marks,1.5,syllabus,keywords,Outcome
2021,4,,1,1.5,9.1.1,Licences,H3.1
2021,21,,3,4.5,9.1.1 ,Protection against software piracy,"H2.2, H3.2"
2021,23,(a) ,2,3,9.1.1 ,Responsibilities of developers,H3.1
2021,25,(a) ,2,3,9.1.1 ,Social and ethical issues,H3.1
2020,17,,1,1.5,9.1.1,Decompilation,"H3.1, H4.2"
2020,21,(a) ,3,4.5,9.1.1 ,Social issues,H3.1
2019,22,,3,4.5,9.1.1,Software market  dominant players,H3.1
2019,27,(a) ,3,4.5,"9.1.1, 9.2.1",Scenario  travel company Meeting client needs,H4.1
2018,5,,1,1.5,9.1.1,Code of conduct,H3.1 
2018,6,,1,1.5,9.1.1 ,Software licence ,H3.2
2018,21,(a) ,3,4.5,9.1.1 ,Relevant social/ethical issues,H3.1
2017,5,,1,1.5,9.1.1 ,Licences ,H3.1
2017,33,(a) ,3,4.5,9.1.1,Responsibility of developer ,H3.1
2016,1,,1,1.5,9.1.1 ,Software piracy ,H3.1 
2016,2,,1,1.5,9.1.1 ,Reverse engineering ,H3.1
2016,21,,2,3,9.1.1 ,Use of networks in software development ,H2.2 
2016,22,,3,4.5,9.1.1 ,Response times ,H2.2
2015,4,,1,1.5,9.1.1,Intellectual property ,H3.1
2015,7,,1,1.5,9.1.1 ,Inclusivity,H3.2
2015,15,,1,1.5,9.1.1 ,Reverse engineering ,H3.1
2015,25,,3,4.5,9.1.1 ,Software market ,H3.1
2014,1,,1,1.5,9.1.1 ,Cyber safety,H3.1
2014,2,,1,1.5,9.1.1,Ergonomics,H3.2
2014,12,,1,1.5,9.1.1 ,decompilation,H3.1
2014,21,,4,6,9.1.1 ,legal action,H3.1
2014,26,(a),3,4.5,"9.1.1, 9.1.2",responsibility of the developer,H2.2
2013,4,,1,1.5,9.1.1,software piracy,H2.2
2013,5,,1,1.5,9.1.1,Millennium Bug,H2.2
2013,11,,1,1.5,9.1.1,licence,H3.1
2013,22,(a),4,6,9.1.1,Social and Ethical Issues,"H2.2, H3.1"
2013,23,,3,4.5,9.1.1,computer networks to support the development of software,H2.2
2012,5,,1,1.5,9.1.1,software piracy,H3.1
2012,27,(a) ,3,4.5,9.1.1,cloud computing,"H2.2, H3.1"
2012,27,(b),3,4.5,9.1.1,technical considerations for developers,"H2.2, H3.1"
2011,1,,1,1.5,9.1.1,responsibility of the developer,H3.1
2011,24,(b),2,3,9.1.1,Social and Ethical Issues,"H2.2, H3.1"
2011,24,(c),3,4.5,9.1.1,rights and responsibilities of a developer,"H2.2, H3.1"
2011,27,(a) ,3,4.5,9.1.1,rights and responsibilities of a developer,H3.1
2010,5,,1,1.5,9.1.1,licensing,"H2.2, H3.1"
2021,23, (b),3,4.5,9.1.2,CASE tools,H5.3
2021,25, (b),2,3,9.1.2,Installation method,H1.2
2021,25, (c),3,4.5,9.1.2,Software development approach,H1.2
2020,2,,1,1.5,9.1.2,Software development approaches,H1.2
2020,21,(b),3,4.5,9.1.2,CASE tools,H1.2
2020,27,(a),3,4.5,9.1.2,Software development approach,H1.2
2019,1,,1,1.5,9.1.2,Approaches,H1.2
2019,3,,1,1.5,9.1.2,Outsourcing,H1.2
2019,5,,1,1.5,9.1.2,CASE tools,H1.2
2019,11,,1,1.5,9.1.2,Methods of installation,H1.2
2019,25, (a),3,4.5,9.1.2,Development approach,H1.2
2019,27,(c),3,4.5,"9.1.2, 9.3",Team of developers vs single developer,H6.3
2018,21,(b),3,4.5,9.1.2,Development approach,H4.2
2018,21,(c),3,4.5,9.1.2,Installation method,"H4.2, H1.2"
2017,1,,1,1.5,9.1.2,Approaches,H1.2
2017,23,(a),3,4.5,9.1.2,Installation,H1.2
2017,24,,3,4.5,9.1.2,CASE tools,H1.2
2017,27,,3,4.5,9.1.2,Emerging technologies,H2.2
2016,3,,1,1.5,9.1.2,Outsourcing,H1.2
2016,4,,1,1.5,9.1.2,Installation methods,H5.1
2016,5,,1,1.5,9.1.2,Use of CASE tools,H1.2
2016,29, (a),3,4.5,9.1.2,Scenario  development approach,H1.2
2016,29, (c),3,4.5,9.1.2,Scenario  social/ethical issues,H3.1
2015,8,,1,1.5,9.1.2,Implementation methods,H6.3
2015,27,,3,4.5,9.1.2,Trends in software development,H2.2
2015,28, (a),4,6,9.1.2,Development Approaches,H1.2
2014,9,,1,1.5,9.1.2,Installation,"H1.2, H4.2"
2014,26,(a),3,4.5,"9.1.1, 9.1.2",Outsourcing,H2.2
2013,25, (a),4,6,9.1.2,agile approach,"H4.2, H6.2"
2013,26,,3,4.5,9.1.2,installation method,H4.2
2012,18,,1,1.5,9.1.2,CASE tools,H1.2
2012,21,,3,4.5,9.1.2,pilot and phased installation methods,"H1.2, H5.1"
2012,25, (a),3,4.5,9.1.2,agile approach,"H1.2, H4.2"
2011,21,,4,6,9.1.2,CASE tools,"H4.2, H5.1"
2011,24, (a),3,4.5,9.1.2,COTS and Outsourcing,"H1.2, H2.2, H4.2"
2011,28, (b),3,4.5,9.1.2,implementation method,H1.2
2010,2,,1,1.5,9.1.2,Installation,H1.2
2010,10,,1,1.5,9.1.2,Approaches,"H1.2, H2.2"
2010,21,(d) (i),3,4.5,9.1.2,RAD & prototyping,H4.2
2021,1,,1,1.5,9.2.1,Development cycle stages,H4.1
2021,3,,1,1.5,9.2.1,Documentation,H5.2
2021,10,,1,1.5,9.2.1,Documentation,H5.2
2021,12,,1,1.5,9.2.1,Data types,H4.2
2021,23,(c),4,6,9.2.1,Data flow diagram,H5.2
2021,27,,3,4.5,9.2.1,Interpreting system flowchart,"H1.3, H5.2"
2020,1,,1,1.5,9.2.1,Data types,"H1.3, H4.2"
2020,4,,1,1.5,9.2.1,Development stages  boundaries,H4.1
2020,11,,1,1.5,9.2.1,Quality assurance,H1.3
2020,24,(c),4,6,9.2.1,Documentation  DFD,H5.2
2020,25,(b),3,4.5,9.2.1,Data dictionary,H5.2
2019,23,b(ii),3,4.5,"9.2.1, 9.2.2 ",Documentation  system flowchart,H5.2
2019,26,,4,6,9.2.1,Documentation  interpreting a structure chart,H5.2
2019,27,(a),3,4.5,"9.1.1, 9.2.1 ",Scenario  travel company Meeting client needs,H4.1
2018,7,,1,1.5,9.2.1,Data types - boolean/integer/(string),H4.2
2018,8,,1,1.5,9.2.1,Documentation (DFD),"H1.3, H6.2"
2018,23,(c),3,4.5,"9.2.1, 9.2.4",Testing / quality assurance,H4.3
2018,25,,3,4.5,9.2.1,Communication between developers and clients,"H5.1, H6.2"
2017,8,,1,1.5,9.2.1,Defining the problem ,"H3.2, H4.2"
2017,9,,1,1.5,9.2.1,Data types - array of booleans,H4.2
2017,10,,1,1.5,9.2.1,Quality criteria,"H3.2, H5.1"
2017,29,,3,4.5,9.2.1,System documentation - context digram,H5.2
2017,33,b(i),4,6,9.2.1,System documentation - IPO diagram,H5.3
2016,6,,1,1.5,9.2.1,Developer vs user perspective,H4.1
2016,10,,1,1.5,9.2.1,Data types - numeric,H4.2
2016,25,(c),3,4.5,"9.2.1, 9.3",Communication skills,H6.1
2015,1,,1,1.5,9.2.1,Needs of client,"H4.1, H6.1"
2015,3,,1,1.5,9.2.1,Documentation (DFD),H5.2
2015,28,(b),3,4.5,9.2.1,System modelling tool - storyboard,H6.4
2015,29,(c),4,6,9.2.1,Structure chart - create from algorithm,H6.3
2015,30,(a),2,3,9.2.1,Array of records,H4.2
2014,11,,1,1.5,9.2.1,systems modelling tools,"H1.3, H4.3"
2014,22,,3,4.5,9.2.1,storyboards and IPO diagrams,H5.2
2014,26,(b),3,4.5,9.2.1,communication between the user and the developer,"H5.2, H6.3"
2014,31,(c),4,6,9.2.1,Documentation (DFD),H5.2
2013,2,,1,1.5,9.2.1,system flowchart,H5.2
2013,7,,1,1.5,9.2.1,data type,H5.2
2013,9,,1,1.5,"9.2.1, 9.3",system modelling tools,H5.2
2013,24,(a),3,4.5,9.2.1,IPO diagram,H4.2
2013,30,(a),3,4.5,9.2.1,pseudocode,H4.2
2013,30,(b),3,4.5,"9.2.1, 9.2.3",specifications,"H5.2, H4.3"
2012,6,,1,1.5,9.2.1,system modelling tools,"H5.2, H6.2"
